     2,      4,   1019,    210,    140,    910,     -3,    -30,   1001,   -468,    576,   -108
     2,      4,   1019,    210,     70,    910,     -3,    -31,   1002,   -466,    571,   -102
     3,      4,   1020,    140,     70,    910,     -3,    -29,   1000,   -471,    571,   -109
     2,      4,   1020,    210,    140,    910,     -3,    -29,   1001,   -460,    568,   -103
     2,      4,   1020,    210,    140,    980,     -4,    -30,   1001,   -471,    576,   -100
     2,      5,   1019,    210,     70,    980,     -4,    -30,   1001,   -471,    573,   -112
     1,      5,   1020,    210,     70,    980,     -4,    -30,   1003,   -472,    579,   -115
     3,      4,   1020,    140,    140,    910,     -3,    -29,   1001,   -471,    568,   -103
     2,      5,   1020,    210,    140,    910,     -3,    -30,   1001,   -466,    577,   -105
     2,      5,   1019,    210,     70,    910,     -3,    -30,   1002,   -465,    565,    -97
     2,      4,   1019,    140,     70,    910,     -3,    -30,   1001,   -475,    585,   -108
     2,      4,   1020,    210,     70,    910,     -3,    -30,   1000,   -477,    565,    -96
     2,      4,   1019,    210,     70,    980,     -4,    -30,   1001,   -471,    567,   -118
     2,      5,   1019,    140,     70,    910,     -3,    -29,   1001,   -468,    564,   -109
     2,      4,   1019,    140,    140,    910,     -2,    -28,    999,   -466,    574,   -105
     1,      4,   1019,    210,     70,    840,     -3,    -29,   1002,   -468,    574,   -109
     2,      5,   1019,    210,    140,    910,     -3,    -30,   1001,   -466,    588,   -117
     4,      3,   1019,    210,     70,    980,     -3,    -30,   1000,   -471,    567,   -103
     1,      5,   1019,    210,     70,    910,     -3,    -29,   1001,   -469,    570,    -99
     2,      4,   1020,    210,     70,    910,     -3,    -30,   1001,   -469,    573,   -102
     2,      5,   1020,    210,     70,    910,     -3,    -30,   1002,   -471,    567,   -108
     3,      5,   1019,    140,     70,    910,     -4,    -31,   1000,   -468,    576,   -111
     3,      5,   1019,    210,     70,    910,     -3,    -29,   1004,   -468,    565,   -106
     3,      4,   1020,    210,     70,    980,     -3,    -30,   1000,   -472,    573,   -109
     3,      4,   1019,    140,    140,    910,     -3,    -31,   1002,   -469,    576,   -103
     3,      4,   1020,    210,     70,    980,     -2,    -30,   1001,   -471,    582,   -109
     2,      5,   1019,    210,    140,    910,     -2,    -27,   1000,   -471,    571,   -100
     3,      4,   1019,    210,    140,    910,     -3,    -29,   1003,   -462,    579,   -103
     2,      5,   1018,    210,     70,    910,     -3,    -32,   1001,   -457,    564,    -99
     2,      5,   1020,    210,    140,    980,     -3,    -31,   1005,   -463,    570,   -117
     3,      4,   1020,    210,     70,    980,     -3,    -31,   1003,   -460,    570,   -105
     2,      5,   1020,    210,     70,    980,     -2,    -33,   1006,   -468,    576,   -105
