Timestamp;DSOax;DSOay;DSOaz;DSOgx;DSOgy;DSOgz;W12ax;W12ay;W12az;MDLmx;MDLmy;MDLmz
990588847;-1;-2;1020;140;0;560;-10;-38;1011;-882;841;-121
991145035;-1;-2;1020;140;0;560;-9;-38;1009;-873;829;-136
991701237;0;-2;1019;210;0;560;-9;-38;1009;-873;829;-136
992257433;0;-1;1019;140;0;490;-9;-39;1014;-882;841;-142
992813621;0;-1;1019;140;0;490;-9;-39;1014;-883;841;-124
993369825;-1;0;1020;210;0;560;-9;-40;1015;-883;841;-124
993926007;-1;0;1020;210;0;560;-10;-39;1011;-882;831;-126
994482211;-1;-1;1019;210;0;560;-10;-39;1011;-882;841;-123
995038399;0;-2;1020;210;0;490;-12;-39;1009;-877;841;-123
995594597;0;-2;1020;210;0;490;-10;-34;1010;-868;844;-135
996150811;-1;-2;1019;210;0;560;-10;-34;1010;-868;844;-135
996707001;-1;-2;1020;140;0;560;-9;-43;1013;-880;843;-132
997263199;0;-1;1020;140;0;560;-9;-43;1013;-870;832;-132
997819397;-1;-2;1018;140;0;490;-9;-40;1018;-870;832;-132
998375587;-1;-2;1018;140;0;560;-9;-37;1012;-880;849;-129
998931771;-1;-1;1021;210;0;560;-9;-37;1012;-888;840;-132
999487977;0;-2;1019;140;0;490;-10;-38;1012;-888;840;-132
1000044173;0;-2;1019;140;0;490;-10;-38;1012;-873;832;-135
1000600375;-1;-2;1019;140;0;560;-9;-40;1012;-873;832;-135
1001156565;-1;-2;1019;140;0;490;-9;-39;1009;-883;835;-133
1001712761;0;-2;1019;140;0;490;-9;-39;1009;-886;846;-132
1002268953;0;-1;1020;140;0;490;-10;-43;1011;-886;846;-132
1002825157;0;-1;1020;140;0;490;-7;-36;1009;-885;835;-133
1003381357;0;-2;1019;140;0;560;-7;-36;1009;-880;838;-133
1003937549;0;-2;1019;210;0;560;-9;-41;1012;-880;838;-133
1004493743;0;-2;1019;210;0;560;-9;-41;1012;-880;835;-130
1005049937;-1;-2;1020;140;0;490;-9;-38;1016;-877;838;-129
1005606141;-1;-2;1020;140;0;560;-10;-36;1010;-877;838;-129
1006162339;0;-1;1019;140;0;560;-10;-36;1010;-876;832;-132
1006718523;0;-2;1020;140;70;490;-10;-40;1013;-876;832;-132
1007274725;0;-2;1020;140;70;490;-10;-40;1013;-883;837;-135
1007830915;-2;-2;1018;210;0;560;-10;-39;1012;-882;841;-139
